CBM_Type,Training_Mode,Alpha,k,Run,Leakage,Warning,num_sim,n,d
soft,joint,200.0,20,12,0.00032066150213672096,False,15,2000,700
soft,joint,200.0,20,13,0.005343678422423448,False,15,2000,700
soft,joint,200.0,20,14,0.002452324933219563,False,15,2000,700
soft,joint,200.0,20,15,0.0003916297532502444,False,15,2000,700
soft,joint,200.0,50,1,0.011989998686109837,False,15,2000,700
soft,joint,200.0,50,2,0.00597926944588445,False,15,2000,700
soft,joint,200.0,50,3,0.010442437778850788,False,15,2000,700
soft,joint,200.0,50,4,0.008555642801891805,False,15,2000,700
soft,joint,200.0,50,5,0.001349091477663933,False,15,2000,700
soft,joint,200.0,50,6,0.007533159086729135,False,15,2000,700
soft,joint,200.0,50,7,-0.004722439571584802,False,15,2000,700
soft,joint,200.0,50,8,0.009361841355106648,False,15,2000,700
soft,joint,200.0,50,9,0.009158152856115764,False,15,2000,700
soft,joint,200.0,50,10,0.0007008470940781386,False,15,2000,700
soft,joint,200.0,50,11,0.005688849325570677,False,15,2000,700
soft,joint,200.0,50,12,1.370752585527768e-05,False,15,2000,700
soft,joint,200.0,50,13,-0.0010996321099145945,False,15,2000,700
soft,joint,200.0,50,14,0.006695422202890322,False,15,2000,700
soft,joint,200.0,50,15,0.0081863371212616,False,15,2000,700
soft,joint,200.0,100,1,0.010575078749905487,False,15,2000,700
soft,joint,200.0,100,2,0.004915775168028214,False,15,2000,700
soft,joint,200.0,100,3,0.003922885869724668,False,15,2000,700
